DAG,YearA,YearB,AUPRC_obs,AUPRC_p
Control,2020,2021,0.0081,0.827
Control,2021,2022,0.0128,0.721
Control,2020,2022,0.0209,0.592
Correlation,2020,2021,0.0136,0.755
Correlation,2021,2022,0.0006,0.988
Correlation,2020,2022,0.013,0.803
Simplified Clinician Consensus $\cup$ Simplified Golem,2020,2021,0.0072,0.868
Simplified Clinician Consensus $\cup$ Simplified Golem,2021,2022,0.0181,0.648
Simplified Clinician Consensus $\cup$ Simplified Golem,2020,2022,0.0253,0.568
Simplified Clinician Consensus $\cup$ Simplified PCMB,2020,2021,0.0026,0.956
Simplified Clinician Consensus $\cup$ Simplified PCMB,2021,2022,0.0189,0.634
Simplified Clinician Consensus $\cup$ Simplified PCMB,2020,2022,0.0215,0.604
Simplified Clinician Consensus $\cap$ Simplified Golem,2020,2021,0.0573,0.194
Simplified Clinician Consensus $\cap$ Simplified Golem,2021,2022,0.0167,0.718
Simplified Clinician Consensus $\cap$ Simplified Golem,2020,2022,0.0405,0.37
Simplified Clinician Consensus $\cap$ Simplified PCMB,2020,2021,0.0171,0.676
Simplified Clinician Consensus $\cap$ Simplified PCMB,2021,2022,0.0277,0.497
Simplified Clinician Consensus $\cap$ Simplified PCMB,2020,2022,0.0106,0.797
Simplified Clinician Consensus,2020,2021,0.0314,0.452
Simplified Clinician Consensus,2021,2022,0.0366,0.384
Simplified Clinician Consensus,2020,2022,0.0052,0.895
Simplified Golem $\cup$ Simplified PCMB,2020,2021,0.0118,0.797
Simplified Golem $\cup$ Simplified PCMB,2021,2022,0.0205,0.64
Simplified Golem $\cup$ Simplified PCMB,2020,2022,0.0087,0.817
Simplified Golem $\cap$ Simplified PCMB,2020,2021,0.0152,0.735
Simplified Golem $\cap$ Simplified PCMB,2021,2022,0.0098,0.817
Simplified Golem $\cap$ Simplified PCMB,2020,2022,0.0054,0.913
Simplified Golem,2020,2021,0.0081,0.852
Simplified Golem,2021,2022,0.0145,0.731
Simplified Golem,2020,2022,0.0227,0.623
Simplified PCMB,2020,2021,0.0015,0.974
Simplified PCMB,2021,2022,0.0272,0.494
Simplified PCMB,2020,2022,0.0287,0.491
