DAG,AUPRC_All,AUCNPR_All,AUPRC_2020,AUCNPR_2020,AUPRC_2021,AUCNPR_2021,AUPRC_2022,AUCNPR_2022
Control,0.8082,0.7965,0.8143,0.7996,0.8223,0.8122,0.8352,0.8271
Correlation,0.7467,0.7313,0.7528,0.7332,0.7664,0.7531,0.7658,0.7543
Simplified Clinician Consensus $\cup$ Simplified Golem,0.7805,0.7671,0.7868,0.7699,0.794,0.7822,0.8121,0.8029
Simplified Clinician Consensus $\cup$ Simplified PCMB,0.7859,0.7728,0.7933,0.777,0.796,0.7843,0.8149,0.8058
Simplified Clinician Consensus $\cap$ Simplified Golem,0.7363,0.7203,0.7832,0.7661,0.726,0.7103,0.7427,0.7301
Simplified Clinician Consensus $\cap$ Simplified PCMB,0.7857,0.7727,0.8042,0.7887,0.7871,0.7749,0.8148,0.8058
Simplified Clinician Consensus,0.7742,0.7604,0.8023,0.7867,0.7709,0.7578,0.8075,0.7981
Simplified Golem $\cup$ Simplified PCMB,0.78,0.7666,0.7992,0.7833,0.7873,0.7752,0.8078,0.7984
Simplified Golem $\cap$ Simplified PCMB,0.7632,0.7488,0.7844,0.7674,0.7693,0.7561,0.7791,0.7683
Simplified Golem,0.7707,0.7567,0.7791,0.7617,0.7872,0.7751,0.8018,0.7921
Simplified PCMB,0.7809,0.7675,0.7902,0.7736,0.7917,0.7798,0.819,0.8101
