DAG,Year,Average Precision,Normalized AUPRC,AUROC,Precision,Recall,F1 Score,Accuracy,ECE,# Features,# Biomarkers
Control,All,"0.78 (0.75, 0.82)","0.75 (0.72, 0.80)","0.92 (0.90, 0.93)","0.90 (0.88, 0.92)","0.80 (0.78, 0.82)","0.84 (0.82, 0.86)","0.95 (0.94, 0.95)",0.093,521,28
Control,2020,"0.79 (0.73, 0.85)","0.76 (0.69, 0.83)","0.91 (0.88, 0.94)","0.91 (0.88, 0.94)","0.80 (0.76, 0.84)","0.84 (0.81, 0.87)","0.93 (0.92, 0.95)",0.113,521,28
Control,2021,"0.80 (0.74, 0.85)","0.78 (0.71, 0.83)","0.93 (0.91, 0.96)","0.91 (0.88, 0.95)","0.80 (0.77, 0.84)","0.85 (0.81, 0.88)","0.95 (0.94, 0.96)",0.087,521,28
Control,2022,"0.80 (0.74, 0.86)","0.78 (0.71, 0.85)","0.93 (0.89, 0.96)","0.90 (0.86, 0.94)","0.82 (0.78, 0.86)","0.86 (0.82, 0.89)","0.96 (0.95, 0.97)",0.086,521,28
Correlation,All,"0.75 (0.71, 0.78)","0.72 (0.67, 0.75)","0.89 (0.87, 0.91)","0.90 (0.88, 0.92)","0.78 (0.76, 0.80)","0.83 (0.80, 0.85)","0.94 (0.93, 0.95)",0.114,53,20
Correlation,2020,"0.75 (0.69, 0.81)","0.71 (0.64, 0.78)","0.89 (0.85, 0.92)","0.88 (0.84, 0.91)","0.76 (0.72, 0.80)","0.80 (0.76, 0.84)","0.92 (0.90, 0.93)",0.131,53,20
Correlation,2021,"0.76 (0.69, 0.82)","0.73 (0.65, 0.80)","0.89 (0.86, 0.93)","0.92 (0.89, 0.95)","0.80 (0.76, 0.84)","0.85 (0.81, 0.88)","0.95 (0.94, 0.96)",0.109,53,20
Correlation,2022,"0.78 (0.72, 0.84)","0.76 (0.69, 0.82)","0.91 (0.87, 0.94)","0.93 (0.90, 0.96)","0.82 (0.78, 0.86)","0.87 (0.83, 0.90)","0.96 (0.95, 0.97)",0.106,53,20
Simplified Clinician Consensus $\cup$ Simplified PCMB,All,"0.76 (0.73, 0.80)","0.73 (0.70, 0.78)","0.91 (0.89, 0.93)","0.90 (0.88, 0.92)","0.79 (0.76, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.104,150,8
Simplified Clinician Consensus $\cup$ Simplified PCMB,2020,"0.78 (0.72, 0.83)","0.74 (0.67, 0.80)","0.90 (0.87, 0.93)","0.92 (0.89, 0.95)","0.80 (0.75, 0.83)","0.84 (0.80, 0.87)","0.93 (0.92, 0.95)",0.121,150,8
Simplified Clinician Consensus $\cup$ Simplified PCMB,2021,"0.77 (0.71, 0.83)","0.74 (0.68, 0.81)","0.92 (0.89, 0.95)","0.89 (0.85, 0.92)","0.78 (0.74, 0.83)","0.82 (0.79, 0.86)","0.94 (0.93, 0.95)",0.097,150,8
Simplified Clinician Consensus $\cup$ Simplified PCMB,2022,"0.78 (0.71, 0.84)","0.76 (0.68, 0.82)","0.92 (0.88, 0.95)","0.90 (0.87, 0.94)","0.82 (0.78, 0.86)","0.85 (0.82, 0.89)","0.96 (0.95, 0.97)",0.096,150,8
Simplified Clinician Consensus $\cup$ Simplified Golem,All,"0.76 (0.73, 0.80)","0.73 (0.70, 0.78)","0.91 (0.89, 0.93)","0.90 (0.88, 0.92)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.100,223,12
Simplified Clinician Consensus $\cup$ Simplified Golem,2020,"0.76 (0.70, 0.82)","0.72 (0.65, 0.79)","0.90 (0.87, 0.93)","0.90 (0.86, 0.93)","0.78 (0.74, 0.82)","0.82 (0.78, 0.86)","0.93 (0.91, 0.94)",0.116,223,12
Simplified Clinician Consensus $\cup$ Simplified Golem,2021,"0.79 (0.74, 0.85)","0.77 (0.71, 0.83)","0.92 (0.89, 0.95)","0.91 (0.88, 0.94)","0.81 (0.77, 0.85)","0.85 (0.81, 0.88)","0.95 (0.94, 0.96)",0.096,223,12
Simplified Clinician Consensus $\cup$ Simplified Golem,2022,"0.79 (0.73, 0.85)","0.77 (0.70, 0.84)","0.92 (0.89, 0.95)","0.90 (0.87, 0.94)","0.81 (0.76, 0.85)","0.85 (0.81, 0.88)","0.96 (0.94, 0.97)",0.092,223,12
Simplified Golem $\cup$ Simplified PCMB,All,"0.77 (0.73, 0.80)","0.74 (0.70, 0.78)","0.91 (0.89, 0.93)","0.91 (0.89, 0.93)","0.78 (0.76, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.098,223,12
Simplified Golem $\cup$ Simplified PCMB,2020,"0.77 (0.71, 0.82)","0.73 (0.66, 0.79)","0.90 (0.87, 0.93)","0.93 (0.91, 0.96)","0.78 (0.74, 0.82)","0.84 (0.80, 0.87)","0.93 (0.92, 0.95)",0.115,223,12
Simplified Golem $\cup$ Simplified PCMB,2021,"0.79 (0.73, 0.84)","0.77 (0.70, 0.82)","0.93 (0.90, 0.95)","0.91 (0.88, 0.95)","0.79 (0.75, 0.84)","0.84 (0.80, 0.88)","0.95 (0.94, 0.96)",0.092,223,12
Simplified Golem $\cup$ Simplified PCMB,2022,"0.79 (0.73, 0.85)","0.77 (0.70, 0.84)","0.93 (0.89, 0.96)","0.90 (0.86, 0.94)","0.81 (0.76, 0.85)","0.84 (0.81, 0.88)","0.95 (0.94, 0.97)",0.092,223,12
Simplified Clinician Consensus,All,"0.73 (0.70, 0.77)","0.70 (0.66, 0.74)","0.90 (0.88, 0.92)","0.90 (0.87, 0.92)","0.76 (0.74, 0.79)","0.81 (0.79, 0.83)","0.94 (0.93, 0.95)",0.104,112,6
Simplified Clinician Consensus,2020,"0.75 (0.69, 0.80)","0.71 (0.64, 0.77)","0.89 (0.86, 0.92)","0.88 (0.84, 0.91)","0.77 (0.73, 0.81)","0.81 (0.77, 0.84)","0.92 (0.90, 0.94)",0.125,112,6
Simplified Clinician Consensus,2021,"0.74 (0.67, 0.80)","0.71 (0.63, 0.78)","0.90 (0.86, 0.93)","0.90 (0.86, 0.94)","0.77 (0.73, 0.81)","0.82 (0.78, 0.85)","0.94 (0.93, 0.95)",0.098,112,6
Simplified Clinician Consensus,2022,"0.76 (0.70, 0.83)","0.74 (0.67, 0.81)","0.92 (0.88, 0.95)","0.92 (0.89, 0.95)","0.79 (0.74, 0.83)","0.84 (0.80, 0.87)","0.96 (0.94, 0.97)",0.094,112,6
Simplified Clinician Consensus $\cap$ Simplified PCMB,All,"0.73 (0.69, 0.76)","0.70 (0.65, 0.73)","0.89 (0.87, 0.91)","0.89 (0.87, 0.91)","0.78 (0.75, 0.80)","0.82 (0.80, 0.84)","0.94 (0.93, 0.95)",0.108,93,5
Simplified Clinician Consensus $\cap$ Simplified PCMB,2020,"0.75 (0.69, 0.81)","0.71 (0.64, 0.78)","0.89 (0.86, 0.92)","0.88 (0.84, 0.91)","0.78 (0.74, 0.82)","0.82 (0.78, 0.85)","0.92 (0.91, 0.94)",0.129,93,5
Simplified Clinician Consensus $\cap$ Simplified PCMB,2021,"0.71 (0.64, 0.77)","0.68 (0.60, 0.74)","0.88 (0.85, 0.91)","0.89 (0.85, 0.93)","0.77 (0.73, 0.82)","0.82 (0.78, 0.86)","0.94 (0.93, 0.95)",0.102,93,5
Simplified Clinician Consensus $\cap$ Simplified PCMB,2022,"0.77 (0.71, 0.83)","0.75 (0.68, 0.81)","0.91 (0.88, 0.94)","0.93 (0.89, 0.96)","0.80 (0.76, 0.84)","0.85 (0.81, 0.88)","0.96 (0.95, 0.97)",0.097,93,5
Simplified PCMB,All,"0.76 (0.73, 0.80)","0.73 (0.70, 0.78)","0.91 (0.89, 0.92)","0.89 (0.87, 0.91)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.93, 0.95)",0.104,131,7
Simplified PCMB,2020,"0.76 (0.69, 0.81)","0.72 (0.64, 0.78)","0.89 (0.86, 0.92)","0.88 (0.84, 0.92)","0.78 (0.74, 0.82)","0.82 (0.79, 0.85)","0.93 (0.91, 0.94)",0.122,131,7
Simplified PCMB,2021,"0.79 (0.73, 0.84)","0.77 (0.70, 0.82)","0.93 (0.90, 0.95)","0.90 (0.86, 0.93)","0.79 (0.75, 0.83)","0.83 (0.80, 0.87)","0.95 (0.93, 0.96)",0.096,131,7
Simplified PCMB,2022,"0.80 (0.73, 0.85)","0.78 (0.70, 0.84)","0.91 (0.87, 0.95)","0.91 (0.87, 0.95)","0.83 (0.79, 0.87)","0.87 (0.83, 0.90)","0.96 (0.95, 0.97)",0.096,131,7
Simplified Golem,All,"0.76 (0.72, 0.79)","0.73 (0.69, 0.76)","0.91 (0.89, 0.92)","0.90 (0.88, 0.92)","0.79 (0.77, 0.81)","0.83 (0.81, 0.85)","0.94 (0.94, 0.95)",0.102,149,8
Simplified Golem,2020,"0.74 (0.68, 0.80)","0.70 (0.63, 0.77)","0.89 (0.86, 0.92)","0.88 (0.84, 0.92)","0.76 (0.72, 0.80)","0.81 (0.77, 0.84)","0.92 (0.90, 0.94)",0.121,149,8
Simplified Golem,2021,"0.79 (0.73, 0.84)","0.77 (0.70, 0.82)","0.92 (0.89, 0.95)","0.91 (0.88, 0.95)","0.81 (0.77, 0.85)","0.85 (0.82, 0.88)","0.95 (0.94, 0.96)",0.096,149,8
Simplified Golem,2022,"0.81 (0.75, 0.87)","0.79 (0.73, 0.86)","0.94 (0.90, 0.97)","0.90 (0.87, 0.94)","0.82 (0.78, 0.86)","0.86 (0.82, 0.89)","0.96 (0.95, 0.97)",0.095,149,8
Simplified Golem $\cap$ Simplified PCMB,All,"0.71 (0.68, 0.75)","0.67 (0.64, 0.72)","0.89 (0.87, 0.91)","0.86 (0.84, 0.89)","0.77 (0.75, 0.80)","0.81 (0.79, 0.83)","0.93 (0.93, 0.94)",0.113,57,3
Simplified Golem $\cap$ Simplified PCMB,2020,"0.74 (0.67, 0.80)","0.70 (0.62, 0.77)","0.88 (0.84, 0.91)","0.89 (0.85, 0.93)","0.77 (0.73, 0.81)","0.82 (0.78, 0.85)","0.92 (0.91, 0.94)",0.126,57,3
Simplified Golem $\cap$ Simplified PCMB,2021,"0.72 (0.65, 0.79)","0.69 (0.61, 0.77)","0.91 (0.88, 0.94)","0.87 (0.83, 0.91)","0.78 (0.74, 0.82)","0.82 (0.78, 0.85)","0.94 (0.93, 0.95)",0.107,57,3
Simplified Golem $\cap$ Simplified PCMB,2022,"0.73 (0.66, 0.80)","0.70 (0.63, 0.78)","0.90 (0.86, 0.94)","0.85 (0.81, 0.89)","0.80 (0.75, 0.84)","0.82 (0.78, 0.86)","0.95 (0.93, 0.96)",0.108,57,3
Simplified Clinician Consensus $\cap$ Simplified Golem,All,"0.66 (0.62, 0.70)","0.62 (0.57, 0.66)","0.86 (0.84, 0.88)","0.85 (0.82, 0.87)","0.74 (0.72, 0.76)","0.78 (0.76, 0.80)","0.93 (0.92, 0.93)",0.116,38,2
Simplified Clinician Consensus $\cap$ Simplified Golem,2020,"0.70 (0.62, 0.76)","0.65 (0.56, 0.72)","0.87 (0.83, 0.90)","0.87 (0.82, 0.90)","0.74 (0.70, 0.78)","0.79 (0.75, 0.82)","0.91 (0.90, 0.93)",0.129,38,2
Simplified Clinician Consensus $\cap$ Simplified Golem,2021,"0.66 (0.59, 0.73)","0.62 (0.54, 0.70)","0.86 (0.82, 0.90)","0.84 (0.79, 0.88)","0.73 (0.69, 0.77)","0.77 (0.73, 0.81)","0.93 (0.91, 0.94)",0.111,38,2
Simplified Clinician Consensus $\cap$ Simplified Golem,2022,"0.66 (0.59, 0.74)","0.63 (0.55, 0.71)","0.88 (0.84, 0.91)","0.83 (0.78, 0.87)","0.76 (0.72, 0.80)","0.79 (0.75, 0.83)","0.94 (0.93, 0.95)",0.110,38,2
