DAG,Metric,Year A,Year B,AUCNPR (A),AUCNPR (B),|Δ|,p-value,Significant (p<0.05)
Control,AUCNPR,2020,2021,0.777,0.786,0.009,0.843,False
Control,AUCNPR,2020,2022,0.777,0.791,0.014,0.759,False
Control,AUCNPR,2021,2022,0.786,0.791,0.005,0.92,False
Correlation,AUCNPR,2020,2021,0.73,0.743,0.013,0.788,False
Correlation,AUCNPR,2020,2022,0.73,0.77,0.04,0.399,False
Correlation,AUCNPR,2021,2022,0.743,0.77,0.027,0.582,False
Simplified Clinician Consensus $\cup$ Simplified PCMB,AUCNPR,2020,2021,0.736,0.776,0.039,0.406,False
Simplified Clinician Consensus $\cup$ Simplified PCMB,AUCNPR,2020,2022,0.736,0.787,0.051,0.3,False
Simplified Clinician Consensus $\cup$ Simplified PCMB,AUCNPR,2021,2022,0.776,0.787,0.012,0.784,False
Simplified Clinician Consensus $\cup$ Simplified Golem,AUCNPR,2020,2021,0.773,0.774,0.001,0.979,False
Simplified Clinician Consensus $\cup$ Simplified Golem,AUCNPR,2020,2022,0.773,0.793,0.019,0.697,False
Simplified Clinician Consensus $\cup$ Simplified Golem,AUCNPR,2021,2022,0.774,0.793,0.018,0.694,False
Simplified Golem $\cup$ Simplified PCMB,AUCNPR,2020,2021,0.749,0.779,0.03,0.529,False
Simplified Golem $\cup$ Simplified PCMB,AUCNPR,2020,2022,0.749,0.784,0.036,0.448,False
Simplified Golem $\cup$ Simplified PCMB,AUCNPR,2021,2022,0.779,0.784,0.006,0.901,False
Simplified Clinician Consensus,AUCNPR,2020,2021,0.732,0.689,0.043,0.398,False
Simplified Clinician Consensus,AUCNPR,2020,2022,0.732,0.763,0.031,0.516,False
Simplified Clinician Consensus,AUCNPR,2021,2022,0.689,0.763,0.074,0.145,False
Simplified Clinician Consensus $\cap$ Simplified PCMB,AUCNPR,2020,2021,0.732,0.689,0.043,0.398,False
Simplified Clinician Consensus $\cap$ Simplified PCMB,AUCNPR,2020,2022,0.732,0.763,0.031,0.516,False
Simplified Clinician Consensus $\cap$ Simplified PCMB,AUCNPR,2021,2022,0.689,0.763,0.074,0.145,False
Simplified PCMB,AUCNPR,2020,2021,0.736,0.776,0.039,0.406,False
Simplified PCMB,AUCNPR,2020,2022,0.736,0.787,0.051,0.3,False
Simplified PCMB,AUCNPR,2021,2022,0.776,0.787,0.012,0.784,False
Simplified Golem,AUCNPR,2020,2021,0.721,0.773,0.052,0.282,False
Simplified Golem,AUCNPR,2020,2022,0.721,0.801,0.08,0.107,False
Simplified Golem,AUCNPR,2021,2022,0.773,0.801,0.028,0.539,False
Simplified Golem $\cap$ Simplified PCMB,AUCNPR,2020,2021,0.715,0.704,0.011,0.83,False
Simplified Golem $\cap$ Simplified PCMB,AUCNPR,2020,2022,0.715,0.718,0.004,0.956,False
Simplified Golem $\cap$ Simplified PCMB,AUCNPR,2021,2022,0.704,0.718,0.015,0.768,False
Simplified Clinician Consensus $\cap$ Simplified Golem,AUCNPR,2020,2021,0.672,0.646,0.026,0.66,False
Simplified Clinician Consensus $\cap$ Simplified Golem,AUCNPR,2020,2022,0.672,0.645,0.027,0.662,False
Simplified Clinician Consensus $\cap$ Simplified Golem,AUCNPR,2021,2022,0.646,0.645,0.001,0.993,False
