DAG,AUPRC_2020,AUPRC_2021,AUPRC_2022,AUPRC_All,AUCNPR_2020,AUCNPR_2021,AUCNPR_2022,AUCNPR_All
Control,0.79,0.8,0.8,0.78,0.7733874433547098,0.7885626732231726,0.7902141105773159,0.7665809508295793
Simplified Golem $\cup$ Simplified PCMB,0.77,0.79,0.79,0.77,0.7518052951027774,0.7779908068843313,0.7797248161061817,0.7559709940491056
Simplified Clinician Consensus $\cup$ Simplified Golem,0.76,0.79,0.79,0.76,0.7410142209768111,0.7779908068843313,0.7797248161061817,0.745361037268632
Simplified Clinician Consensus $\cup$ Simplified PCMB,0.78,0.77,0.78,0.76,0.7625963692287436,0.7568470742066485,0.7692355216350475,0.745361037268632
Simplified Golem,0.74,0.79,0.81,0.76,0.7194320727248787,0.7779908068843313,0.8007034050484502,0.745361037268632
Simplified PCMB,0.76,0.79,0.8,0.76,0.7410142209768111,0.7779908068843313,0.7902141105773159,0.745361037268632
Correlation,0.75,0.76,0.78,0.75,0.730223146850845,0.7462752078678072,0.7692355216350475,0.7347510804881583
Simplified Clinician Consensus,0.75,0.74,0.76,0.73,0.730223146850845,0.7251314751901244,0.748256932692779,0.713531166927211
Simplified Clinician Consensus $\cap$ Simplified PCMB,0.75,0.71,0.77,0.73,0.730223146850845,0.6934158761736002,0.7587462271639133,0.713531166927211
Simplified Golem $\cap$ Simplified PCMB,0.74,0.72,0.73,0.71,0.7194320727248787,0.7039877425124417,0.7167890492793764,0.6923112533662636
Simplified Clinician Consensus $\cap$ Simplified Golem,0.7,0.66,0.66,0.66,0.676267776221014,0.6405565444793935,0.643363987981437,0.6392614694638953
